id,book_name,char,caption,content,label,rationale
22,In Search of the Castaways,Jacques Paganel,,"He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography.",0,At least one claim is unsupported by the source text (min similarity = 0.50)
53,In Search of the Castaways,Thalcave,,"While gentling Thaouka they plunged off a cliff; badly hurt, he chewed herbs to staunch the bleeding and survived, forging with the horse a bond deeper than master and beast.",1,All claims are semantically supported by the narrative (min similarity = 0.62)
58,In Search of the Castaways,Thalcave,,"The mission priest taught him Quechua, Spanish and French, showed him European maps, the stars and the arithmetic of navigation.",0,At least one claim is unsupported by the source text (min similarity = 0.45)
81,In Search of the Castaways,Kai-Koumou,,"When he was fourteen a whaling crew coveted the island’s spring and set fire to threaten the village; as squad leader he slipped aboard at night, smashed their launches and drove them off. A captured Spanish sailor, impressed by his ferocity, secretly taught him scraps of Spanish slang.",0,At least one claim is unsupported by the source text (min similarity = 0.48)
47,In Search of the Castaways,Thalcave,,"Colonists killed his father for refusing to reveal migration routes, and the thirteen-year-old fled alone, carrying his father’s silver horse-gear.",0,At least one claim is unsupported by the source text (min similarity = 0.38)
7,In Search of the Castaways,Jacques Paganel,,"Leading a scientific party he insisted on travelling light, leaving the team short of supplies; he watched three members die of malaria and thereafter kept a bulging backpack wherever he went.",0,At least one claim is unsupported by the source text (min similarity = 0.50)
121,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"Aboard the prison transport he met Edmond Dantès’ father, heard tales of the merchant Pharaon and thus gained the first thread that later let him recognise the young sailor.",1,All claims are semantically supported by the narrative (min similarity = 0.68)
129,The Count of Monte Cristo,Faria,The Origin of the Key Artifact,"He learnt to carve fish-bone pen-nibs from an old Macao watchmaker, letting him pursue scholarship without proper tools.",0,At least one claim is unsupported by the source text (min similarity = 0.42)
51,In Search of the Castaways,Thalcave,,"Horse-thieves attacked; the old shepherd died shielding Thalcave, and with his last breath begged the youth to “stand between civilisation and the wild.”",1,All claims are semantically supported by the narrative (min similarity = 0.63)
127,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,"During twenty years in one cell he kept his wits by calculating Mediterranean tides, an exercise that later let him predict guards’ rounds in the original story.",0,At least one claim is unsupported by the source text (min similarity = 0.44)
133,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,University lectures on Enlightenment science convinced him that religion and reason could be fused into one worldview.,0,At least one claim is unsupported by the source text (min similarity = 0.36)
52,In Search of the Castaways,Thalcave,,On the Patagonian frontier he trapped a wary black stallion named Thaouka and spent three months taming it with ancient Tehuelche methods.,1,All claims are semantically supported by the narrative (min similarity = 0.57)
114,The Count of Monte Cristo,Faria,Early Academic Background,"At twelve he entered Bologna University, read theology and chemistry, and caused a stir by decoding ciphers in a fifteenth-century alchemist’s notebook.",0,At least one claim is unsupported by the source text (min similarity = 0.45)
2,In Search of the Castaways,Jacques Paganel,,"Caught secretly studying Latin in the church school, he was made to stand as punishment, yet the episode let him befriend a Spanish-speaking caretaker and pick up basic Spanish while helping the man compose letters.",0,At least one claim is unsupported by the source text (min similarity = 0.52)
33,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He volunteered for Captain Grant’s crew chiefly to spy on the colonisation schemes backed by Scottish nobles.,1,All claims are semantically supported by the narrative (min similarity = 0.59)
15,In Search of the Castaways,Jacques Paganel,,Calm before cannibals: his Amazon years taught him to gauge a tribe’s degree of civilization by studying the bone ornaments they wore.,0,At least one claim is unsupported by the source text (min similarity = 0.47)
82,In Search of the Castaways,Kai-Koumou,,"Captured at sixteen, he gnawed fish-bones to stay alive during months of imprisonment; on escape he inspired fellow captives by chewing burnt bone ash, then sneaked into a British merchant’s cabin, stole torn pages of an English dictionary and pieced together enough words for rough conversation.",0,At least one claim is unsupported by the source text (min similarity = 0.50)
37,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Tom Ayrton was born near Exeter to a fisherman father, retired naval petty-officer James Ayrton; his mother died young and he was reared by his elder brother Benjamin, learning tides and wind signs on fishing trips while secretly studying the Nautical Almanac and dreaming of “conquering the seas.”",0,At least one claim is unsupported by the source text (min similarity = 0.50)
3,In Search of the Castaways,Jacques Paganel,,"After his mother died he quarrelled with his father and left home, carrying the Polynesian nautical charts she had bequeathed to him.",0,At least one claim is unsupported by the source text (min similarity = 0.46)
103,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,As Napoleon climbed toward dictatorship Noirtier distanced himself from former comrades and grew wary of power’s corruption.,0,At least one claim is unsupported by the source text (min similarity = 0.49)
94,The Count of Monte Cristo,Noirtier,The Fatal Decision of the Hundred Days,To treat worsening hand tremors he allowed his private doctor to test a new sedative on political prisoners; the secret gave him leverage over enemies even after paralysis set in.,0,At least one claim is unsupported by the source text (min similarity = 0.46)
85,In Search of the Castaways,Kai-Koumou,,"Hearing that foreigners sought the missing captain’s daughter and would pay richly for her return, he volunteered to lead the pursuit.",0,At least one claim is unsupported by the source text (min similarity = 0.55)
21,In Search of the Castaways,Jacques Paganel,,"The Royal Navy frigate HMS Austin, bound for Australia and New Zealand under Lieutenant Grant, quietly promoted the sympathetic young sailor to ship’s assistant.",0,At least one claim is unsupported by the source text (min similarity = 0.52)
49,In Search of the Castaways,Thalcave,,"For two years he lived solo in the Andean border wilds, tempering an ice-cold nerve by trailing pumas and dodging bandits.",0,At least one claim is unsupported by the source text (min similarity = 0.44)
140,The Count of Monte Cristo,Faria,Addendum to Character Relationships,Friendships forged in secret cells and exile sustained him through the long years of imprisonment and seclusion.,0,At least one claim is unsupported by the source text (min similarity = 0.44)
64,In Search of the Castaways,Thalcave,,South-latitude incident: off the Chilean coast he ferried water and provisions to a burning barque and fished a sailor from the sea during a squall.,0,At least one claim is unsupported by the source text (min similarity = 0.51)
131,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,"Born in 1760 to a declining Italian noble house, he devoured the family library and startled tutors with his memory.",0,At least one claim is unsupported by the source text (min similarity = 0.48)
61,In Search of the Castaways,Thalcave,,"Slave-raiders seized his little sister Nawee; too young to save her, he swore ever after to help anyone in distress.",0,At least one claim is unsupported by the source text (min similarity = 0.43)
86,In Search of the Castaways,Kai-Koumou,,"At first Glenarvan found him haughty and cold, yet observed that the man valued life and kept his word; though words were few, a fragile trust grew between them during their stand-off.",1,All claims are semantically supported by the narrative (min similarity = 0.58)
38,In Search of the Castaways,Tom Ayrton/Ben Joyce,,His quick temper and refusal to accept unjust punishment led to repeated discipline and growing disillusion; during a storm on a convoy run he insisted on saving people but was reprimanded for “disrupting military order.”,0,At least one claim is unsupported by the source text (min similarity = 0.51)
132,The Count of Monte Cristo,Faria,Early Life and Academic Achievements,"By eighteen he was a star student at Rome University, fluent in several languages and already publishing notes on history and natural philosophy.",0,At least one claim is unsupported by the source text (min similarity = 0.47)
77,In Search of the Castaways,Kai-Koumou,,"As a boy he was rescued by British biologist Wallace, who left behind a bird-of-paradise picture book that, twenty years later, convinced him Glenarvan was linked to the naturalist.",0,At least one claim is unsupported by the source text (min similarity = 0.52)
70,In Search of the Castaways,Kai-Koumou,,"At twenty-two he earned the chieftainship by surviving seven days and nights alone on the crater’s rim, bringing back a sulphur-crusted sacred stone; the same year he married white princess Julia of the west-coast tribe, executed her with an obsidian knife when he found her passing information to British missionaries and thereafter banned any white marriage.",0,At least one claim is unsupported by the source text (min similarity = 0.44)
115,The Count of Monte Cristo,Faria,Early Academic Background,"As a Jesuit novice he was sent to Goa, secretly read the old Indian medical text Charaka Samhita and laid the groundwork for his later toxicology expertise.",0,At least one claim is unsupported by the source text (min similarity = 0.41)
78,In Search of the Castaways,Kai-Koumou,,"His father guarded the island’s paramount chief; his mother, a princess from a neighbouring island, came in marriage to seal an alliance. At five he saw her assassinated in inter-tribal strife; to stop further unrest his father ordered the murderer’s entire clan executed, and the child never forgot the sound of flesh stripped from bone.",0,At least one claim is unsupported by the source text (min similarity = 0.41)
87,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,**Family Trauma**: His father was guillotined in 1792 for hiding exiled aristocrats; watching the blade fall left him with chronic hand tremors and lifelong revulsion for the old regime.,0,At least one claim is unsupported by the source text (min similarity = 0.55)
75,In Search of the Castaways,Kai-Koumou,,"He had an extraordinary memory for geographical knowledge, and could determine the location of shipwrecks by observing tidal changes. He viewd volcanic eruptions as divine punishment against colonizers.",0,At least one claim is unsupported by the source text (min similarity = 0.53)
44,In Search of the Castaways,Tom Ayrton/Ben Joyce,,Solitude brought pride and remorse to the surface; again and again his diary confessed both self-loathing for the betrayal and relief that no one knew the truth.,0,At least one claim is unsupported by the source text (min similarity = 0.47)
